image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
84|class1937|53|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1937-01-01|Harvey Studio|12323|9174|300|38.8x27.9|||MF Baird and JD Palmer noted as absent|51|1||72
85|class1938_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1938-01-01||7144|5463|300||||University of New Brunswick Canadian Officers Training Corps 1938-39|0|0||72
86|class1938|54|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1938-01-01|The Harvey Studio|12319|9338|300|38.7x29.1||||50|1||72
87|class1939|0|Class|tiff|Mike Meade, Alex Rogers|Old Arts Building|Arts Building|1939-01-01|The Harvey Studios|11360|8714|300|||||0|1||72
88|class1940|56|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1940-01-01|The Harvey Studio|12318|9298|300|39x28.9|||Dr. CC Jones last year as UNB President|63|1||72
89|class1941|57|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1941-01-01|The Harvey Studio|12379|9473|300|39x29.1|||NAM MacKenzie new UNB President|69|1||72
90|class1943|58|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1943-01-01|Harvey Studio|12366|9477|300|38.9x29||||60|1||72
91|class1944|59|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1944-01-01|The Harvey Studio|12462|9468|300|39.1x29|||Composition by R. Cardinal - 46, Last year of presidency for NAM MacKenzie|54|1||72
92|class1945|0|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1945-01-01|The Harvey Studios|11262|8567|300||||Dr. Milton F Gregg becomes President|58|1||72
93|class1947_camera|0|Club|tiff|Mike Meade, Alex Rogers|||1947-01-01||4456|3213|||||Camera Club, 1947|3|1||72
94|class1947_law|0|Faculty|tiff|Mike Meade, Alex Rogers|||1947-01-01|Climo|9253|6736|||||University of New Brunswick Law School|10|3||72
95|class1948_debating|0|Club|tiff|Mike Meade, Alex Rogers|||1948-01-01||8752|7616|||||UNB Debating Team Maritime Intercollegiate Champions|6|0||72
96|class1949|0|Class|tiff|Mike Meade, Alex Rogers|Old Arts Building|Arts Building|1949-01-01||15710|11224|300||||stitched together from multiple shots|306|1||72
97|class1951|0|Class|tiff|Mike Meade, Alex Rogers|Old Arts Building|Arts Building|1951-01-01||10140|7662||||||0|1||72
98|class1952_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1952-01-01||8483|7593|||||UNB Contingent COTC 1952-53|0|0||72
99|class1953_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1953-01-01||8425|7601|||||UNB Contingent COTC 1953-54|0|0||72
100|class1954_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1954-01-01||9038|7792|||||UNB Contingent COTC 1954-55|0|0||72
101|class1956_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1956-01-01||11511|8871|||||UNB Contingent COTC 1956-57|0|0||72
